Cust_ID,First_Name,Last_Name,Signup_Email,Signup_City
200,Adrienne,Richardson,teresa10@example.com,New Kimberly
201,Shelly,Ortiz,okerr@example.org,Jonathanmouth
202,Kathy,Schultz,kristinethompson@example.org,Brandonchester
203,Thomas,Klein,cabreraerin@example.com,North Nathan
204,Kelly,Baker,meganpruitt@example.org,North Devontown
205,Christopher,Archer,uwilson@example.org,Chambersview
206,Gerald,Morris,sbradley@example.net,South Joseph
207,Christopher,Watson,ghurley@example.com,Virginiaborough
208,Sarah,Norton,sandra73@example.net,Zacharyfort
209,Timothy,Whitaker,azimmerman@example.com,Port Theodoreshire
